Periodo;Codigo usuario;Factura;Estrato;Ciclo;COD Municipio;Estado;Consumo;Normalizado;Promedio;Dias_Facturados;ID_Mes;es_estacional
202307;2;28490337;13;2;601;A;4.0;4.0225877561553265;18.0;31;16;1
202306;2;28256413;13;2;601;A;4.0;3.940944360188996;21.0;31;17;1
202305;2;28031036;13;2;601;A;8.0;8.366920248412407;24.0;30;18;1
202304;2;27805538;13;2;601;A;16.0;16.914917697216715;26.0;30;19;1
202303;2;27582442;13;2;601;A;29.0;29.66808106432083;26.0;31;20;1
202302;2;27358675;13;2;601;A;26.0;27.24397203235531;26.0;30;21;1
202301;2;27136907;13;2;601;A;27.0;27.67565389501601;26.0;30;22;1
202212;2;26918960;13;2;601;A;27.0;28.096651835855667;25.0;30;23;1
202211;2;26696151;13;2;601;A;26.0;26.627981440315345;25.0;30;24;1
202210;2;26477626;13;2;601;A;29.0;29.667563238460286;24.0;31;25;1
202209;2;26272987;13;2;601;A;27.0;27.36688949450496;25.0;31;26;1
202208;2;26044665;13;2;601;A;26.0;27.311658065727816;26.0;30;27;1
202207;2;25834670;13;2;601;A;27.0;29.007560614009623;27.0;29;28;1
202206;2;25616416;13;2;601;A;25.0;25.35487992290377;28.0;31;29;1
202205;2;25404617;13;2;601;A;24.0;25.027662101559194;29.0;30;30;1
202204;2;25197369;13;2;601;A;25.0;24.45800600421181;28.0;31;31;1
202203;2;24984752;13;2;601;A;30.0;29.8515018204487;27.0;31;32;1
202202;2;24778289;13;2;601;A;33.0;34.81653309213171;25.0;30;33;1
202201;2;24571289;13;2;601;A;32.0;33.026379786677225;22.0;30;34;1
202112;2;24366534;13;2;601;A;33.0;33.722871571301106;20.0;30;35;1
202111;2;24165688;13;2;601;A;27.0;26.518730625083435;19.0;32;36;1
202110;2;23961510;13;2;601;A;24.0;24.38124187820339;18.0;30;37;1
202109;2;23761498;13;2;601;A;24.0;27.144672827496173;17.0;28;38;1
202108;2;23565499;13;2;601;A;15.0;16.866465149390436;18.0;28;39;1
202107;2;23365400;13;2;601;A;17.0;17.227691200478677;19.0;30;40;1
202410;10;32011156;13;2;601;A;10.0;10.697132494381254;10.0;29;1;0
202409;10;31769681;13;2;601;A;6.0;6.0668282735293;11.0;31;2;0
202408;10;31527808;13;2;601;A;12.0;12.033705228851865;11.0;31;3;0
202407;10;31279782;13;2;601;A;13.0;13.207980514373956;10.0;30;4;0
202406;10;31044767;13;2;601;A;11.0;11.232448916053036;11.0;31;5;0
202405;10;30803592;13;2;601;A;10.0;10.146921094255669;11.0;30;6;0
202404;10;30566985;13;2;601;A;12.0;12.24936164616834;11.0;31;7;0
202403;10;30332660;13;2;601;A;11.0;11.342430645553891;11.0;30;8;0
202402;10;30096661;13;2;601;A;11.0;10.814875997071692;11.0;32;9;0
202401;10;29864418;13;2;601;A;11.0;11.648493561669854;12.0;30;10;0
202312;10;29631067;13;2;601;A;13.0;12.744366644788261;12.0;31;11;0
202311;10;29401383;13;2;601;A;13.0;13.179166999965211;12.0;30;12;0
202310;10;29169444;13;2;601;A;13.0;13.698108298748306;12.0;30;13;0
202309;10;28940065;13;2;601;A;11.0;10.752350864176133;12.0;31;14;0
202308;10;28711409;13;2;601;A;11.0;11.452158574035549;12.0;30;15;0
202307;10;28490344;13;2;601;A;13.0;12.886071469082536;12.0;31;16;0
202306;10;28256420;13;2;601;A;13.0;13.30759894643717;11.0;31;17;0
202305;10;28031050;13;2;601;A;12.0;12.319791402446572;11.0;30;18;0
202304;10;27805545;13;2;601;A;13.0;13.560503981975401;11.0;30;19;0
202303;10;27582456;13;2;601;A;13.0;13.005493763372103;11.0;31;20;0
202302;10;27358687;13;2;601;A;11.0;11.541895577830683;11.0;30;21;0
202301;10;27136914;13;2;601;A;11.0;11.597469308690723;11.0;30;22;0
202212;10;26919001;13;2;601;A;11.0;11.532496483126979;11.0;30;23;0
202211;10;26696164;13;2;601;A;12.0;12.361861990643247;11.0;30;24;0
202210;10;26477664;13;2;601;A;12.0;11.764777879198753;11.0;31;25;0
202209;10;26272994;13;2;601;A;13.0;12.823708952381681;10.0;31;26;0
202208;10;26044697;13;2;601;A;11.0;11.261760816615402;10.0;30;27;0
202207;10;25834686;13;2;601;A;13.0;13.717978286323824;9.0;29;28;0
202206;10;25616462;13;2;601;A;10.0;10.017789939276222;9.0;31;29;0
202205;10;25404630;13;2;601;A;11.0;11.402311480158712;8.0;30;30;0
202204;10;25197386;13;2;601;A;11.0;11.257028517459133;7.0;31;31;0
202203;10;24984759;13;2;601;A;9.0;9.089964337662877;8.0;31;32;0
202202;10;24778323;13;2;601;A;10.0;10.151259321064533;8.0;30;33;0
202201;10;24571296;13;2;601;A;8.0;8.106234114402577;9.0;30;34;0
202112;10;24366552;13;2;601;A;9.0;9.428486596937171;8.0;30;35;0
202111;10;24165709;13;2;601;A;6.0;5.821956504974635;9.0;32;36;0
202110;10;23961517;13;2;601;A;5.0;5.10855223404424;10.0;30;37;0
202109;10;23761525;13;2;601;A;11.0;12.285636639109947;10.0;28;38;0
202108;10;23565525;13;2;601;A;13.0;14.302792316620796;10.0;28;39;0
202107;10;23365407;13;2;601;A;10.0;10.358092808999785;10.0;30;40;0
202410;11;32011157;13;2;601;A;15.0;16.25629602881351;13.0;29;1;0
202409;11;31769682;13;2;601;A;16.0;15.697367621628812;13.0;31;2;0
202408;11;31527809;13;2;601;A;16.0;16.30152664233457;13.0;31;3;0
202407;11;31279783;13;2;601;A;12.0;12.634750332303247;13.0;30;4;0
202406;11;31044768;13;2;601;A;13.0;12.762082655221775;13.0;31;5;0
202405;11;30803593;13;2;601;A;11.0;11.495595439657336;14.0;30;6;0
202404;11;30566986;13;2;601;A;14.0;14.258637392809685;14.0;31;7;0
202403;11;30332662;13;2;601;A;16.0;16.75337143046869;14.0;30;8;0
202402;11;30096663;13;2;601;A;16.0;15.235359981634637;14.0;32;9;0
202401;11;29864420;13;2;601;A;11.0;11.436179742513456;14.0;30;10;0
202312;11;29631068;13;2;601;A;14.0;14.249977385148185;14.0;31;11;0
202311;11;29401388;13;2;601;A;15.0;15.858962434093687;14.0;30;12;0
202310;11;29169445;13;2;601;A;15.0;15.271666409075221;13.0;30;13;0
202309;11;28940066;13;2;601;A;19.0;19.281811057978782;11.0;31;14;0
202308;11;28711410;13;2;601;A;16.0;16.839773885420772;11.0;30;15;0
202307;11;28490345;13;2;601;A;12.0;12.132811713197576;11.0;31;16;0
202306;11;28256421;13;2;601;A;14.0;14.281333450069315;10.0;31;17;0
202305;11;28031052;13;2;601;A;14.0;14.319480338388788;10.0;30;18;0
202304;11;27805546;13;2;601;A;7.0;7.140468729798512;10.0;30;19;0
202303;11;27582458;13;2;601;A;8.0;7.911023691770214;10.0;31;20;0
202302;11;27358689;13;2;601;A;12.0;12.65461147754761;9.0;30;21;0
202301;11;27136915;13;2;601;A;12.0;12.495622058108172;8.0;30;22;0
202212;11;26919005;13;2;601;A;11.0;11.141625523942249;8.0;30;23;0
202211;11;26696165;13;2;601;A;13.0;13.28693948178476;8.0;30;24;0
202210;11;26477667;13;2;601;A;9.0;9.223529177239506;9.0;31;25;0
202209;11;26272995;13;2;601;A;6.0;6.09424839949584;10.0;31;26;0
202208;11;26044699;13;2;601;A;3.0;3.043637734577685;12.0;30;27;0
202207;11;25834688;13;2;601;A;10.0;10.468783811447455;11.0;29;28;0
202206;11;25616465;13;2;601;A;12.0;11.908347933560202;11.0;31;29;0
202205;11;25404632;13;2;601;A;13.0;13.160615908878945;9.0;30;30;0
202204;11;25197388;13;2;601;A;13.0;12.722304462729824;8.0;31;31;0
202203;11;24984760;13;2;601;A;14.0;13.82184928678896;7.0;31;32;0
202202;11;24778327;13;2;601;A;12.0;12.705166695248614;6.0;30;33;0
202201;11;24571297;13;2;601;A;6.0;6.065443333229043;6.0;30;34;0
202112;11;24366555;13;2;601;A;9.0;9.529185341007336;6.0;30;35;0
202111;11;24165711;13;2;601;A;5.0;4.847822914237207;7.0;32;36;0
202110;11;23961518;13;2;601;A;4.0;4.091607586590289;8.0;30;37;0
202109;11;23761528;13;2;601;A;6.0;6.516762402243611;8.0;28;38;0
202108;11;23565528;13;2;601;A;7.0;7.654422120793283;8.0;28;39;0
202107;11;23365408;13;2;601;A;9.0;9.488829446628412;8.0;30;40;0
202410;12;32011158;13;2;601;A;10.0;10.827127404052327;11.0;29;1;0
202409;12;31769683;13;2;601;A;11.0;11.031234078705646;9.0;31;2;0
202408;12;31527810;13;2;601;A;12.0;12.120516028771094;7.0;31;3;0
202407;12;31279784;13;2;601;A;12.0;12.347640886028952;6.0;30;4;0
202406;12;31044769;13;2;601;A;15.0;14.803874080659375;3.0;31;5;0
202405;12;30803594;13;2;601;A;10.0;10.551582228851574;2.0;30;6;0
202404;12;30566987;13;2;601;A;10.0;9.83939572727363;1.0;31;7;0
202403;12;30332664;13;2;601;A;0.0;0.0;5.0;30;8;0
202402;12;30096665;13;2;601;A;0.0;0.0;9.0;32;9;0
202401;12;29864422;13;2;601;A;0.0;0.0;12.0;30;10;0
202312;12;29631069;13;2;601;A;0.0;0.0;13.0;31;11;0
202311;12;29401392;13;2;601;A;0.0;0.0;14.0;30;12;0
202310;12;29169446;13;2;601;A;4.0;4.103595499892724;15.0;30;13;0
202309;12;28940067;13;2;601;A;29.0;29.455623951403638;12.0;31;14;0
202308;12;28711411;13;2;601;A;25.0;26.419721780205354;11.0;30;15;0
202307;12;28490346;13;2;601;A;15.0;14.718079686611118;10.0;31;16;0
202306;12;28256422;13;2;601;A;8.0;8.05883859904468;11.0;31;17;0
202305;12;28031054;13;2;601;A;8.0;8.254632502181645;11.0;30;18;0
202304;12;27805547;13;2;601;A;9.0;9.278052957471425;10.0;30;19;0
202303;12;27582460;13;2;601;A;11.0;11.004889033930723;8.0;31;20;0
202302;12;27358691;13;2;601;A;15.0;15.78045086721037;6.0;30;21;0
202301;12;27136916;13;2;601;A;13.0;13.462639928945128;5.0;30;22;0
202212;12;26919010;13;2;601;A;13.0;13.404867541648642;5.0;30;23;0
202211;12;26696166;13;2;601;A;8.0;8.366432252890588;6.0;30;24;0
202210;12;26477670;13;2;601;A;1.0;0.9824637850135195;7.0;31;25;0
202209;12;26272996;13;2;601;A;0.0;0.0;9.0;31;26;0
202208;12;26044701;13;2;601;A;0.0;0.0;10.0;30;27;0
202207;12;25834690;13;2;601;A;10.0;10.736951903639111;10.0;29;28;0
202206;12;25616468;13;2;601;A;15.0;15.241728437349241;10.0;31;29;0
202205;12;25404634;13;2;601;A;10.0;10.365917392404985;9.0;30;30;0
202204;12;25197390;13;2;601;A;11.0;11.020020099912989;9.0;31;31;0
202203;12;24984761;13;2;601;A;8.0;7.930017698309916;9.0;31;32;0
202202;12;24778331;13;2;601;A;10.0;10.494906687352021;9.0;30;33;0
202201;12;24571298;13;2;601;A;11.0;11.53008864015662;8.0;30;34;0
202112;12;24366558;13;2;601;A;10.0;10.259492130929058;8.0;30;35;0
202111;12;24165713;13;2;601;A;9.0;8.55683978407703;8.0;32;36;0
202110;12;23961519;13;2;601;A;10.0;10.507161888913659;9.0;30;37;0
202109;12;23761531;13;2;601;A;7.0;7.6759103476669654;9.0;28;38;0
202108;12;23565531;13;2;601;A;8.0;9.003042348255581;9.0;28;39;0
202107;12;23365409;13;2;601;A;7.0;7.2226048354034615;10.0;30;40;0
202410;13;32011159;13;2;601;A;4.0;4.241877931276862;5.0;29;1;0
202409;13;31769684;13;2;601;A;2.0;2.018818646064163;6.0;31;2;0
202408;13;31527811;13;2;601;A;3.0;3.071820667998928;7.0;31;3;0
202407;13;31279785;13;2;601;A;5.0;5.114413551302073;7.0;30;4;0
202406;13;31044770;13;2;601;A;8.0;8.03865278049145;7.0;31;5;0
202405;13;30803595;13;2;601;A;10.0;10.58719508179798;6.0;30;6;0
202404;13;30566988;13;2;601;A;6.0;6.0741477892770375;5.0;31;7;0
202403;13;30332666;13;2;601;A;6.0;6.355296021582255;5.0;30;8;0
202402;13;30096667;13;2;601;A;8.0;7.7976391097812225;5.0;32;9;0
202401;13;29864424;13;2;601;A;7.0;7.391396223182814;5.0;30;10;0
202312;13;29631070;13;2;601;A;8.0;8.01911317494365;4.0;31;11;0
202311;13;29401397;13;2;601;A;3.0;3.03584491319855;5.0;30;12;0
202310;13;29169447;13;2;601;A;0.0;0.0;6.0;30;13;0
202309;13;28940068;13;2;601;A;4.0;4.025736693270479;7.0;31;14;0
202308;13;28711412;13;2;601;A;7.0;7.245701686364672;7.0;30;15;0
202307;13;28490347;13;2;601;A;7.0;6.863774225648447;8.0;31;16;0
202306;13;28256423;13;2;601;A;7.0;6.983369727297806;9.0;31;17;0
202305;13;28031056;13;2;601;A;5.0;5.299129410325509;9.0;30;18;0
202304;13;27805548;13;2;601;A;9.0;9.30127032577036;9.0;30;19;0
202303;13;27582462;13;2;601;A;9.0;9.114791129675137;9.0;31;20;0
202302;13;27358693;13;2;601;A;9.0;9.260709518463502;9.0;30;21;0
202301;13;27136917;13;2;601;A;11.0;11.128570683290528;9.0;30;22;0
202212;13;26919015;13;2;601;A;11.0;11.422757961635597;9.0;30;23;0
202211;13;26696167;13;2;601;A;9.0;9.266808920932919;9.0;30;24;0
202210;13;26477673;13;2;601;A;9.0;9.175541040743632;10.0;31;25;0
202209;13;26272997;13;2;601;A;8.0;7.9691072414775475;10.0;31;26;0
202208;13;26044703;13;2;601;A;9.0;9.139329451906768;10.0;30;27;0
202207;13;25834692;13;2;601;A;9.0;9.713136910563804;10.0;29;28;0
202206;13;25616471;13;2;601;A;12.0;12.232237046216813;9.0;31;29;0
202205;13;25404636;13;2;601;A;10.0;10.178360369758897;9.0;30;30;0
202204;13;25197392;13;2;601;A;12.0;12.198732806610005;9.0;31;31;0
202203;13;24984762;13;2;601;A;9.0;9.227648477150236;9.0;31;32;0
202202;13;24778335;13;2;601;A;8.0;8.363142727089915;9.0;30;33;0
202201;13;24571299;13;2;601;A;9.0;9.363563782753143;9.0;30;34;0
202112;13;24366561;13;2;601;A;8.0;8.114406607770123;9.0;30;35;0
202111;13;24165714;13;2;601;A;10.0;9.733234905147716;10.0;32;36;0
202110;13;23961520;13;2;601;A;11.0;11.333919120332007;10.0;30;37;0
202109;13;23761534;13;2;601;A;12.0;13.561935243915023;9.0;28;38;0
202108;13;23565534;13;2;601;A;9.0;10.107323419051118;9.0;28;39;0
202107;13;23365410;13;2;601;A;8.0;8.091674397634796;8.0;30;40;0
202410;14;32011160;13;2;601;A;6.0;6.5364371844841145;6.0;29;1;0
202409;14;31769685;13;2;601;A;2.0;2.0021120018836633;6.0;31;2;0
202408;14;31527812;13;2;601;A;8.0;8.07837407275055;5.0;31;3;0
202407;14;31279786;13;2;601;A;9.0;9.287677806531518;4.0;30;4;0
202406;14;31044771;13;2;601;A;5.0;4.9514900038960965;5.0;31;5;0
202405;14;30803596;13;2;601;A;8.0;8.350808524799948;4.0;30;6;0
202404;14;30566989;13;2;601;A;4.0;4.070448339454867;4.0;31;7;0
202403;14;30332668;13;2;601;A;6.0;6.353040885190405;3.0;30;8;0
202402;14;30096669;13;2;601;A;0.0;0.0;4.0;32;9;0
202401;14;29864426;13;2;601;A;4.0;4.186893694564473;5.0;30;10;0
202312;14;29631071;13;2;601;A;7.0;7.1001551718134355;4.0;31;11;0
202311;14;29401402;13;2;601;A;4.0;4.229936928261333;4.0;30;12;0
202310;14;29169448;13;2;601;A;6.0;6.258869899125072;4.0;30;13;0
202309;14;28940069;13;2;601;A;0.0;0.0;5.0;31;14;0
202308;14;28711413;13;2;601;A;7.0;7.070391992836354;5.0;30;15;0
202307;14;28490348;13;2;601;A;6.0;6.021768203932591;5.0;31;16;0
202306;14;28256424;13;2;601;A;3.0;3.066493430938911;5.0;31;17;0
202305;14;28031058;13;2;601;A;6.0;6.167749881131683;4.0;30;18;0
202304;14;27805549;13;2;601;A;6.0;6.2334093047250985;3.0;30;19;0
202303;14;27582463;13;2;601;A;3.0;3.0084790347841412;3.0;31;20;0
202302;14;27358695;13;2;601;A;8.0;8.231909223255371;3.0;30;21;0
202301;14;27136918;13;2;601;A;4.0;4.209957119114952;3.0;30;22;0
202212;14;26919020;13;2;601;A;2.0;2.0837820893037002;3.0;30;23;0
202211;14;26696168;13;2;601;A;2.0;2.0235999358729897;3.0;30;24;0
202210;14;26477676;13;2;601;A;2.0;1.9709792747207147;4.0;31;25;0
202209;14;26272998;13;2;601;A;3.0;2.9934126525222804;4.0;31;26;0
202208;14;26044705;13;2;601;A;5.0;5.129020307389934;5.0;30;27;0
202207;14;25834694;13;2;601;A;3.0;3.2407647318208506;5.0;29;28;0
202206;14;25616474;13;2;601;A;3.0;2.9492452048054485;5.0;31;29;0
202205;14;25404638;13;2;601;A;5.0;5.271941506923903;4.0;30;30;0
202204;14;25197394;13;2;601;A;4.0;3.9690148496897333;4.0;31;31;0
202203;14;24984763;13;2;601;A;8.0;8.094244199113854;4.0;31;32;0
202202;14;24778339;13;2;601;A;8.0;8.180089117850745;3.0;30;33;0
202201;14;24571300;13;2;601;A;2.0;2.1131288280523797;3.0;30;34;0
202112;14;24366564;13;2;601;A;2.0;2.077240922812702;4.0;30;35;0
202111;14;24165715;13;2;601;A;3.0;2.855401989308044;4.0;32;36;0
202110;14;23961521;13;2;601;A;3.0;3.1077631379055832;4.0;30;37;0
202109;14;23761538;13;2;601;A;5.0;5.589057367370847;4.0;28;38;0
202108;14;23565537;13;2;601;A;4.0;4.345499383331722;5.0;28;39;0
202107;14;23365411;13;2;601;A;4.0;4.111045982693772;6.0;30;40;0
202410;15;32011161;13;2;601;A;29.0;30.959643156410667;25.0;29;1;0
202409;15;31769686;13;2;601;A;31.0;30.783593348067853;23.0;31;2;0
202408;15;31527813;13;2;601;A;31.0;31.254090484149366;22.0;31;3;0
202407;15;31279787;13;2;601;A;25.0;25.64213752059803;21.0;30;4;0
202406;15;31044772;13;2;601;A;24.0;24.53825846452743;20.0;31;5;0
202405;15;30803597;13;2;601;A;23.0;24.353348068645293;19.0;30;6;0
202404;15;30566990;13;2;601;A;22.0;22.51863333898117;17.0;31;7;0
202403;15;30332670;13;2;601;A;18.0;18.56484423815838;15.0;30;8;0
202402;15;30096671;13;2;601;A;28.0;26.616098208817373;12.0;32;9;0
202401;15;29864428;13;2;601;A;20.0;20.39981725290767;11.0;30;10;0
202312;15;29631072;13;2;601;A;17.0;17.186139008150384;10.0;31;11;0
202311;15;29401407;13;2;601;A;16.0;16.911967869282652;9.0;30;12;0
202310;15;29169449;13;2;601;A;7.0;7.212086601837427;8.0;30;13;0
202309;15;28940070;13;2;601;A;9.0;9.130493513777763;8.0;31;14;0
202308;15;28711414;13;2;601;A;9.0;9.14617234365329;11.0;30;15;0
202307;15;28490349;13;2;601;A;11.0;10.803788308575104;11.0;31;16;0
202306;15;28256425;13;2;601;A;12.0;11.815745348929589;12.0;31;17;0
202305;15;28031060;13;2;601;A;7.0;7.07843507682139;13.0;30;18;0
202304;15;27805550;13;2;601;A;3.0;3.141036339743781;15.0;30;19;0
202303;15;27582464;13;2;601;A;10.0;10.017188730922575;16.0;31;20;0
202302;15;27358697;13;2;601;A;23.0;23.84508617715516;14.0;30;21;0
202301;15;27136919;13;2;601;A;16.0;16.494044744400007;13.0;30;22;0
202212;15;26919024;13;2;601;A;17.0;17.296118527197006;11.0;30;23;0
202211;15;26696169;13;2;601;A;15.0;15.489150271291612;11.0;30;24;0
202210;15;26477679;13;2;601;A;15.0;14.794879866913279;10.0;31;25;0
202209;15;26272999;13;2;601;A;12.0;12.241643913057285;12.0;31;26;0
202208;15;26044707;13;2;601;A;12.0;12.49889084538196;14.0;30;27;0
202207;15;25834696;13;2;601;A;10.0;10.901629555442275;14.0;29;28;0
202206;15;25616477;13;2;601;A;6.0;6.053192351939754;16.0;31;29;0
202205;15;25404640;13;2;601;A;14.0;14.33259119842216;17.0;30;30;0
202204;15;25197396;13;2;601;A;12.0;12.169365548814667;18.0;31;31;0
202203;15;24984764;13;2;601;A;24.0;24.24853145378205;16.0;31;32;0
202202;15;24778343;13;2;601;A;19.0;19.43111559965511;15.0;30;33;0
202201;15;24571301;13;2;601;A;16.0;16.452721706778593;15.0;30;34;0
202112;15;24366567;13;2;601;A;17.0;17.17581803711173;15.0;30;35;0
202111;15;24165717;13;2;601;A;21.0;20.21969515535284;14.0;32;36;0
202110;15;23961522;13;2;601;A;14.0;14.64250375557613;14.0;30;37;0
202109;15;23761542;13;2;601;A;14.0;15.443712801104848;14.0;28;38;0
202108;15;23565540;13;2;601;A;13.0;14.377250188877689;15.0;28;39;0
202107;15;23365412;13;2;601;A;18.0;18.2487817872627;15.0;30;40;0
202410;1;32011148;12;2;601;A;8.0;4.327402254597245;8.0;29;1;1
202409;1;31769673;12;2;601;A;8.0;4.022368299878999;8.0;31;2;1
202408;1;31527800;12;2;601;A;9.0;4.499832088867151;9.0;31;3;1
202407;1;31279774;12;2;601;A;8.0;4.068163928999697;10.0;30;4;1
202406;1;31044759;12;2;601;A;9.0;4.5196949370837185;10.0;31;5;1
202405;1;30803584;12;2;601;A;8.0;4.102636418030199;10.0;30;6;1
202404;1;30566977;12;2;601;A;9.0;4.538765385230493;10.0;31;7;1
202403;1;30332642;12;2;601;A;10.0;5.133300997255726;11.0;30;8;1
202402;1;30096646;12;2;601;A;12.0;5.876999938517608;11.0;32;9;1
202401;1;29864400;12;2;601;A;13.0;6.652913098801846;11.0;30;10;1
202312;1;29631059;12;2;601;A;11.0;5.500383817834955;11.0;31;11;1
202311;1;29401330;12;2;601;A;10.0;5.165759661363246;12.0;30;12;1
202310;1;29169436;12;2;601;A;9.0;4.678963219438246;13.0;30;13;1
202309;1;28940057;12;2;601;A;13.0;6.527988675871835;13.0;31;14;1
202308;1;28711401;12;2;601;A;12.0;6.241172443791001;13.0;30;15;1
202307;1;28490336;12;2;601;A;14.0;7.0073612083730845;13.0;31;16;1
202306;1;28256412;12;2;601;A;14.0;7.037675016728441;12.0;31;17;1
202305;1;28031035;12;2;601;A;13.0;6.7706453304652054;12.0;30;18;1
202304;1;27805537;12;2;601;A;17.0;8.798088327154602;11.0;30;19;1
202303;1;27582440;12;2;601;A;13.0;6.653998897580741;11.0;31;20;1
202302;1;27358673;12;2;601;A;13.0;6.818265788675268;12.0;30;21;1
202301;1;27136906;12;2;601;A;11.0;5.715577558503272;12.0;30;22;1
202212;1;26918955;12;2;601;A;8.0;4.184775783025306;12.0;30;23;1
202211;1;26696150;12;2;601;A;13.0;6.838444039100795;12.0;30;24;1
202210;1;26477623;12;2;601;A;14.0;6.936267422117581;12.0;31;25;1
202209;1;26272986;12;2;601;A;13.0;6.3657395794028195;12.0;31;26;1
202208;1;26044663;12;2;601;A;16.0;8.220681954532623;12.0;30;27;1
202207;1;25834668;12;2;601;A;9.0;4.902118270740924;13.0;29;28;1
202206;1;25616413;12;2;601;A;13.0;6.542170812560999;15.0;31;29;1
202205;1;25404616;12;2;601;A;12.0;6.117149360688323;16.0;30;30;1
202204;1;25197367;12;2;601;A;11.0;5.397879076584791;16.0;31;31;1
202203;1;24984751;12;2;601;A;16.0;8.123204685377416;16.0;31;32;1
202202;1;24778285;12;2;601;A;15.0;7.789799681243076;16.0;30;33;1
202201;1;24571288;12;2;601;A;13.0;6.87766315266324;15.0;30;34;1
202112;1;24366532;12;2;601;A;27.0;13.67950752750031;13.0;30;35;1
